input_size_mb,query_size,avg_time_us,avg_memory_kb
1,1,0,0
1,10,0,0
1,100,0,0
1,1000,0,0
1,10000,0,0
1,100000,0,0
1,1000000,0,0
5,1,0,0
5,10,0,0
5,100,0,0
5,1000,0,0
5,10000,0,0
5,100000,0,0
5,1000000,0,0
10,1,0,0
10,10,0,0
10,100,0,0
10,1000,0,0
10,10000,0,0
10,100000,0,0
10,1000000,0,0
